Order_ID,Order_Date,Region,Category,Sub_Category,Customer_Name,Orders,Quantity,Revenue,Profit
ORD10000,06-10-2023,Central,Technology,Phones,Ravi,4,10,439.7,65.94
ORD10001,27-06-2023, west ,Office Supplies,Binders,Ravi,4,6,457.83,10.79
ORD10002,14-04-2023, west ,Technology,Phones,Sneha,5,20,4619.53,480.29
ORD10003,28-10-2023,East,Technology,Accessories,David,4,12,1336.92,440.68
ORD10004,12-08-2022,EAST,Technology,Phones,Sneha,2,19,1324.67,129.31
ORD10005,06-04-2023, west ,Office Supplies,Paper,Amit,5,2,1104.98,87.43
ORD10006,02-11-2022, west ,Office Supplies,Binders,Sneha,5,11,1971.16,
ORD10007,17-04-2023, west ,Technology,Accessories,Sara,3,3,964.63,76.12
ORD10008,18-06-2022,Central,Technology,Phones,Amit,2,10,$4453.34,635.74
ORD10009,12-12-2023,Central,Furniture,Tables,Kiran,4,13,1374.69,123.09
ORD10010,09-02-2023,East,Technology,Accessories,Priya,5,13,2622.04,-93.84
ORD10011,03-07-2022,South,Office Supplies,Paper,Kiran,2,4,4531.82,1319.35
ORD10012,31-10-2023, west ,Furniture,Tables,Sneha,3,2,1777.88,-163.04
ORD10013,29-11-2022,EAST,Technology,Phones,Sneha,5,2,1682.26,401.53
ORD10014,04-06-2022,South,Office Supplies,Art,David,3,15,3740.25,204.13
ORD10015,22-01-2022,EAST,Furniture,Tables,Priya,2,9,2032.7,-33.48
ORD10016,10-06-2024,EAST,Office Supplies,Paper,Neha,4,11,$903.02,242.15
ORD10017,01-06-2024,EAST,Furniture,Chairs,Ankit,5,14,3022.35,-24.39
ORD10018,02-10-2023,EAST,Technology,Copiers,John,5,14,$1752.76,465.33
ORD10019,02-04-2022,EAST,Office Supplies,Binders,Ankit,5,13,2475.93,-9.44
ORD10020,29-09-2022,Central,Office Supplies,Art,John,4,11,4519.48,1037.87
ORD10021,08-07-2022,EAST,Furniture,Chairs,Priya,5,9,306.98,16.81
ORD10022,14-06-2022, west ,Furniture,Storage,Kiran,3,11,839.05,205.69
ORD10023,12-01-2022,East,Technology,Accessories,Sneha,3,8,1334.5,201.05
ORD10024,01-11-2022,,Office Supplies,Paper,Ankit,1,1,$368.41,44.1
ORD10025,04-11-2023, west ,Technology,Accessories,David,1,20,261.82,47.21
